Source,Topic,Main Question,Alternative Ways to Ask,Response Template,Simplified Question,Simplified Phrasings,Simplified Response
Generic Retailer,Order Tracking,How do I track my order?,Where is my order? | Can I see my delivery status?,"To track your order, **sign into your account and check the 'Orders' section**. A tracking number is sent via email/SMS to monitor delivery status.",how to track my order,where is my order | can see my delivery status,"Sign in, check 'Orders', use tracking number."
Generic Retailer,Returns & Refunds,What is your return policy?,Can I return items? | What's the refund process?,We offer a **60-day hassle-free return policy** for most products. Initiate the return via your account. Customized items may have different rules.,whats your return policy,can return items | what's the refund process,**60-day returns**. Start process in your account.
Generic Retailer,Shipping & Delivery,How long does shipping take?,When will my order arrive? | Delivery time estimate?,**Standard shipping takes 2-4 business days** after processing. Delivery time varies based on your location and the specific method chosen at checkout.,how long does shipping take,when will my order arrive | delivery time estimate,Standard shipping is **2-4 business days**.
Generic Retailer,Shipping & Delivery,Do you offer international shipping?,Can you ship worldwide? | Ship outside Kenya?,We **primarily ship within Kenya** but are actively working to expand international shipping to other African countries. Shipping costs depend on the destination.,do you offer international shipping,can you ship worldwide | ship outside kenya,"**Kenya only** for now, working on expanding internationally."
Generic Retailer,Payment & Billing,What payment methods are accepted?,How can I pay? | Which cards/mobile money are accepted?,"We accept **Visa, MasterCard, Amex, PayPal, mobile money (M-PESA)**, and bank transfers. Choose your preferred method at checkout.",what payment methods do you accept,how can pay | which cards accepted | can use mobile money,"Accepts **cards, PayPal, M-PESA**, and bank transfers."
Generic Retailer,Ordering Process,How do I place an order?,How to buy? | What is the purchase process?,"Browse products, **add them to your cart, and proceed to checkout**. You'll finalize the purchase by entering shipping and payment details.",how to place an order,how to buy | what is the purchase process,Add to cart and proceed to **checkout**.
Generic Retailer,Order Management,Can I cancel or change my order?,How do I cancel my order? | Change order details?,"You can **only cancel within a short window** after placement via your account's 'Orders' page. Once shipped, the order cannot be modified; you must process a return.",can i cancel or change my order,how do i cancel my order | change order details,"**Cancel only immediately** after placing. If shipped, you must return."
Generic Retailer,Account Management,How do I create an account?,How to sign up? | Register for account?,Click **'Sign Up' or 'Create Account'** and follow the steps. Registration is free and provides benefits like order tracking and faster checkout.,how to create an account,how to sign up | register for account,Click **'Sign Up'** to register (it's free).
Generic Retailer,Customer Service,How can I contact customer support?,How to reach support? | Talk to a representative?,"Our support team is available **7 days a week**. Contact us via the **'Contact Us' page** for chat, phone, or message submission options.",how can i contact customer support,how to reach support | talk to a representative,Contact support **7 days a week** via the **'Contact Us' page**.
Generic Retailer,Product Information,Are your products authentic?,Are products genuine? | Do you sell original items?,We guarantee **100% authentic products** sourced only from reputable brands and authorized sellers. We maintain high quality standards.,are your products authentic,are products genuine | do sell original items,**100% authentic** products from reputable brands.
Alibaba,Trade Assurance,How does Trade Assurance protect my money?,What is Trade Assurance? | Is my payment protected?,Trade Assurance **protects your payment** if the supplier fails to ship on time or delivers sub-standard quality. It covers payments up to a designated amount.,how does trade assurance protect my money,what is trade assurance | is my payment protected,**Protects payment** if shipping or quality standards are not met.
Alibaba,Supplier Verification,How can I verify the authenticity of a Gold Supplier?,Is this supplier legitimate? | How to secure my import?,Check the supplier's profile for the **Gold Supplier badge** and review their **Onsite Check** and **Assessed Supplier reports**.,how can i verify the authenticity of a gold supplier,is this supplier legitimate | how to secure my import,Check **Gold Supplier badge** and official **reports**.
Alibaba,Pricing Policy,Is the price listed the final price?,Is the advertised price accurate? | Total cost including shipping?,"The listed price is generally **negotiable** and **excludes shipping, taxes, and customization costs**. Always confirm the final price with the supplier.",is the price listed the final price,is the advertised price accurate | total cost including shipping,"**Negotiable price**, excludes shipping/tax. Must confirm final price."
Alibaba,Ordering Process,What is the minimum order quantity (MOQ)?,What is the smallest order I can place? | Minimum number of units?,The **MOQ is set by the individual supplier** and is specific to the product. Check the product detail page for the requirement.,whats the minimum order quantity (moq),what is the smallest order i can place | minimum number of units,**MOQ is supplier-set**; check the product detail page.
Alibaba,Shipping & Delivery,What shipping methods are available?,What are the freight options? | How is delivery arranged?,"Options include sea freight, air freight, and express courier (DHL, FedEx). **Shipping terms (FOB, CIF) are negotiated** directly with the supplier.",what shipping methods are available,what are the freight options | how is delivery arranged,"Sea, air, and express courier. **Terms are negotiated** with the supplier."
Alibaba,Payment & Billing,What payment methods can I use to pay suppliers?,Which payment options are accepted? | Bank transfer fees?,"Accepted methods include **credit cards, T/T (Bank Transfer), and e-Checking**, often secured via Trade Assurance. Fees vary by method.",what payment methods can i use to pay suppliers,which payment options are accepted | bank transfer fees,"Accepts **cards, T/T, e-Checking**. Payment fees apply."
Alibaba,Returns & Refunds,What is the return process for a defective product?,How to return damaged goods? | Get refund for poor quality?,"If protected by Trade Assurance, you must **file a dispute** based on your contract details to request a refund or return for quality inspection.",whats the return process for a defective product,how to return damaged goods | get refund for poor quality,**File a dispute** via Trade Assurance based on contract.
Alibaba,Careers,How do I learn about job openings at Alibaba Group?,How do I learn about job openings? | Find job opportunities?,"To view current job openings and opportunities, please **visit the official Careers page** on the Alibaba Group website.",how to learn about job openings at alibaba group,how do i learn about job openings | find job opportunities,**Visit the Careers page** on the website.
Alibaba,Account Management,How many people does Alibaba Group employ globally?,How many employees does Alibaba have? | Alibaba staff count?,"As of June 30, 2025, Alibaba Group had a total of **124,320 employees** globally.",how many people does alibaba group employ globally,how many employees does alibaba have | alibaba staff count,"**124,320 employees** globally (as of June 30, 2025)."
Alibaba,CommunityEngagement,What is Alibaba Group doing to help the community?,What are Alibaba Group doing to help the community? | CSR efforts?,"Alibaba focuses on **solving societal problems** as part of its mission. For detailed efforts and policies, please refer to the **ESG (Environmental, Social, and Governance)** report.",whats alibaba group doing to help the community,what are alibaba group doing to help the community | csr efforts,Focuses on **solving societal problems**. See the **ESG report** for details.
Amazon Shoppers Kenya,Payment & Billing,Do you accept M-Pesa or other mobile money?,Can I use M-Pesa? | Accepted mobile payment options?,"Yes, we accept **M-Pesa and other major mobile money platforms**, along with cards and bank transfers for your convenience.",do you accept m-pesa or other mobile money,can use m-pesa | accepted mobile payment options,"Yes, **M-Pesa and mobile money** are accepted."
Amazon Shoppers Kenya,Product Authenticity,Are the products sold on Amazon Shoppers Kenya genuine?,Is the merchandise real? | No fake products?,"Yes, we guarantee **authentic products** sourced from reputable brands and sellers. We strictly enforce an **anti-counterfeit policy**.",are the products sold on amazon shoppers kenya genuine,is the merchandise real | no fake products,"Yes, **authentic products** guaranteed via **anti-counterfeit policy**."
Amazon Shoppers Kenya,Order Tracking,How can I track my order?,How can I track our order? | Where is my package?,"Once shipped, you receive a **tracking number via email/SMS**. Use this number on our website or the shipping partner’s system to monitor delivery status.",how can i track my order,how can track our order | where is my package,Receive **tracking number via email/SMS** to monitor status.
Amazon Shoppers Kenya,ReturnPolicy,What is your return policy?,What are your return policy? | How do I return a product?,We offer a **hassle-free return policy**. You can return products within a specified period if you are not satisfied. Check the **Returns & Refunds page** for details.,whats your return policy,what are your return policy | how do i return a product,**Hassle-free returns** are available within the specified period.
Amazon Shoppers Kenya,ShippingCoverage,Do you offer international shipping?,Do you offer international shipping? | Deliver outside Kenya?,"At the moment, we **only offer shipping within Kenya**. We are working to expand services and may offer international shipping in the future.",do you offer international shipping,do offer international shipping | deliver outside kenya,**Only ship within Kenya**. Expansion is planned.
Amazon Shoppers Kenya,ProductAuthenticity,Are the products on Amazon Shoppers Kenya authentic?,Are the products on Amazon Shoppers Kenya authentic? | Are the products on Amazon Shoppers Kenya authentic?,"Yes, we guarantee **authentic products** sourced from reputable brands and sellers. We do not compromise on quality.",are the products on amazon shoppers kenya authentic,are the products on amazon shoppers kenya authentic,"Yes, **authentic products** from reputable sellers."
Amazon Shoppers Kenya,CustomerSupport,How can I contact customer support?,How can I contact customer support? | Talk to a human?,You can reach us through our **Contact Us page** (message submission) or find our direct contact information. Live chat is also available on the website.,how can i contact customer support,how can contact customer support | talk to a human,Use the **Contact Us page** or **live chat** for support.
Amazon Shoppers Kenya,AccountCreation,How do I create an account?,How do I create an account? | Sign up process?,**Click on 'Sign Up' or 'Create Account'** on our website and follow the prompts. Account creation is quick and easy and unlocks special features.,how to create an account on amazon shoppers kenya,how do i create an account | sign up process,**Click 'Sign Up'** to create your account easily.
Amazon Shoppers Kenya,PlaceOrder,How do I place an order?,How do I place an order on Amazon Shoppers Kenya? | Purchase items?,"Browse the website, **add products to your cart**, and proceed to checkout where you enter your shipping and payment information.",how to place an order on amazon shoppers kenya,how do i place an order | purchase items,**Add to cart** and proceed to checkout.
Amazon Shoppers Kenya,Payment & Billing,What payment methods do you accept?,What payment methods do you accept? | What payment methods do we accept?,"We accept various payment methods, including **credit/debit cards, mobile money, and bank transfers**. You choose the most convenient option at checkout.",what payment methods do you accept,what payment methods do accept | what payment methods do we accept,"Accepts **cards, mobile money, and bank transfers**."
Jumia,Payment & Billing,What is JumiaPay and why should I use it?,Why use JumiaPay? | What is the benefit of JumiaPay?,"**JumiaPay is a free, secure, and fast payment service**. It is the safest way to pay on Jumia, offering instant, hassle-free transactions.",whats jumiapay and why should i use it,why use jumiapay | what is the benefit of jumiapay,"**Accepts cards, mobile money**, and transfers. JumiaPay is free, safe, and fast."
Jumia,Returns & Refunds,What happens if there is an issue with my delivery?,Issue with my order? | 7-day return policy?,"If your delivery is wrong or you change your mind, you will be **reimbursed quickly**. Customer protection offers a faster refund if returned within the **7-day period**.",what happens if there is an issue with my delivery,issue with my order | 7-day return policy,"**Returns are accepted** within the specified period (e.g., 7-30 days). Check the policy page for details."
Jumia,Account Management,How do I sign-up for JumiaPay?,Sign up process for JumiaPay? | Create a JumiaPay account?,"Registering is easy: **make an online purchase, choose JumiaPay at checkout**, and confirm payment on your phone. Your account is created automatically.",how to sign-up for jumiapay,sign up process for jumiapay | create a jumiapay account,Register automatically when **choosing JumiaPay at checkout**.
Jumia,Order Tracking,How do I track my Jumia order?,Where is my order? | Can I check my delivery status?,You can **track your order by logging into your account** or using the tracking number provided in your shipping confirmation email.,how to track my jumia order,where is my order | can check my delivery status,**Track order status** via your account's 'Orders' section.
Jumia,Shipping & Delivery,What are the proper packaging guidelines for Jumia orders?,How should I package my Jumia order? | Fragile item packing?,All orders must be **packaged securely** using appropriate material to prevent damage during transit. **Fragile items need extra bubble wrap**.,whats the proper packaging guidelines for jumia orders,how should i package my jumia order | fragile item packing,"**Delivery time varies** by location, seller, and stock source. Check checkout for the estimated timeline."
Jumia,Payment & Billing,How secure are JumiaPay transactions?,Is JumiaPay safe? | Transaction security?,JumiaPay uses the **best available security technology** and requires **two security confirmations**: your Jumia password and phone confirmation.,how secure are jumiapay transactions,is jumiapay safe | transaction security,"Accepts cards, mobile money, and transfers. **Two security confirmations** are required."
Jumia,Customer Service,How can I contact Jumia Customer Service?,Jumia phone number? | Contact Jumia support?,Contact Jumia Customer Service via the **contact form on Jumia.co.ke/contact/** or by calling the provided local phone number.,how can i contact jumia customer service,jumia phone number | contact jumia support,Contact customer service via the **official website's Contact Us page** or local phone number.
Jumia,Seller Management,How can I upload new products to my Jumia store?,Upload new products? | Add product inventory?,Upload products via the **single-product creation form** or the **batch upload CSV file** in the Vendor Center. Ensure full details are provided.,how can i upload new products to my jumia store,upload new products | add product inventory,Use the **single-product form or batch upload CSV** in the Vendor Center.
Jumia,Exchanges,Can I exchange a product on Jumia?,How to exchange item? | Can I swap my purchase?,"Direct exchanges are **not standard**. Initiate a **return request for a refund/replacement**, and then place a new order for the desired item.",can i exchange a product on jumia,how to exchange item | can swap my purchase,**Jumia does not do direct exchanges**. Initiate a return request.
Jumia,Discounts & Promotions,Where can I find Jumia discount codes or vouchers?,Jumia voucher location? | Where are the discount codes?,"Discount codes and campaigns are advertised on the **Jumia homepage, official emails, or within the Jumia App**.",where can i find jumia discount codes or vouchers,jumia voucher location | where are the discount codes,"Check the **Jumia homepage, emails, or App** for discount codes."
Takealot,Returns & Refunds,What is the Takealot returns policy time limit?,How long do I have to return? | Takealot return period?,"You must return items within **30 days** for a change of mind, and **defective items within 6 months**. Check the policy for full details.",whats the takealot returns policy time limit,how long do i have to return | takealot return period,"**Returns are accepted** within the specified period (e.g., 7-30 days). Check the policy page for details."
Takealot,Order Cancellation,How do I cancel an order?,Can I cancel my order? | Order cancellation process?,**Log into your account** and select the order to cancel. Cancellation is approved immediately if the order has not yet been processed for shipping.,how do i cancel an order on takealot,can cancel my order | order cancellation process,**Log into your account** and select the order to cancel (if not yet shipped).
Takealot,Returns & Refunds,How soon will I get a refund or credit on my return?,When will my money be returned? | Refund timeline?,"You can choose a **credit, refund, or replacement** upon logging your return. The process begins once the item is received and inspected by the warehouse.",how soon will i get a refund or credit on my return,when will my money be returned | refund timeline,"**Returns are accepted** within the specified period (e.g., 7-30 days). Check the policy page for details."
Takealot,Shipping & Delivery,What happens if I receive the wrong or a damaged item?,Wrong item received? | Damaged on delivery?,"You must **return the item within 30 days**. We can replace it, credit your account, or refund you, depending on stock availability.",what happens if i receive the wrong item or a damaged item,wrong item received | damaged on delivery,"**Delivery time varies** by location, seller, and stock source. Check checkout for the estimated timeline."
Takealot,Product Information,"What is the policy for returning items that store data (e.g., phones)?",Return policy for electronics? | Must I give my password?,"For data-storing items, you **must provide unlock codes/passwords** for assessment. Refusal may lead to rejection of the return.","whats the policy for returning items that store data (e.g., phones)",return policy for electronics | must give my password,**You must provide unlock codes** for data-storing items to be assessed for return.
Takealot,Exchanges,Can I exchange an item for a different size or colour?,Swap clothing size? | Exchange for a different colour?,"Yes, you can **exchange clothing, sportswear, and shoes** for a different size or colour by logging a return request and choosing the exchange option (subject to stock).",can i exchange an item for a different size or colour,swap clothing size | exchange for a different colour,"Yes, **clothing/shoes can be exchanged** for size/color."
Takealot,Customer Service,How can I track the status of my return?,Track my return status? | Where is my returned item?,"**Log into your account** and navigate to the returns section, or use the tracking number provided for the return collection.",how can i track the status of my return,track my return status | where is my returned item,"**Contact customer service** via the official website's Contact Us page, email, or local phone number."
Takealot,Payment & Billing,Do you accept payments in installments?,Can I pay monthly? | Lay-by options?,We accept credit cards and often offer **partner-based installment options**. Check the payment information page for current finance plans.,do you accept payments in installments or lay-by,can pay monthly | lay-by options,**Accepts cards** and may offer **installment options** via partners.
Takealot,Shipping & Delivery,How do Takealot Pickup Points work?,What are Pickup Points? | Free collection options?,"**Pickup Points allow you to collect your order for free** from a designated secure location, saving on home delivery fees.",how do takealot pickup points work,what are pickup points | free collection options,**Collect your order for free** at a designated secure location.
